run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,26061,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,26667,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,26667,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,27273,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,27273,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,27879,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,27879,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,28485,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,28485,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,29091,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,29091,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,29697,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,29697,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,30303,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,30303,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,30909,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,30909,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,31515,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,31515,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,32121,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,32121,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,32727,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,32727,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,33333,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,33333,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,33939,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,33939,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,34545,add,6577,1.0
